final_pnl,assignments,premium_collected
8304.702552746348,0,112445.52863039022
57837.467168981566,0,161946.1412776674
2248098.380536141,0,2352239.1793936123
39110.94939918574,0,143251.23211909537
280378.22643194546,0,384519.0522729908
-65345.69072174118,0,38795.132614907874
-43885.16512138517,0,60254.865039467535
-91346.8464554133,0,12793.965584189767
509595.60819993133,0,612082.6690818816
152069.6928415528,0,256210.28772127014
-54855.36628220059,0,49285.45386492716
-79538.56399392404,0,24572.01046859875
-85169.21108155762,0,18971.606978891923
-74538.83490544643,0,29598.899357765316
-8108.025340335742,0,96031.82710328903
-73374.87621987105,0,30756.450167875446
-59216.694160536834,0,44886.83696882505
21873.162897967202,0,126013.98907522642
116131.10227701772,0,220256.26852291485
90575.63213846562,0,194716.43139469106
-80439.74104112787,0,23700.519753551667
5417.768893393259,0,109558.55240144482
1147740.2574626766,0,1251871.9541327192
-91692.75626028635,0,12447.334977369534
-50593.78956999548,0,53547.03141804508
-65011.240504211,0,39129.370609181686
221130.9337262015,0,325271.7596841002
-80493.4756965244,0,23647.345238178998
1915865.274461203,0,2020005.3295177375
-96627.32290121786,0,7512.919889767236
-45150.49628245709,0,58990.28669526834
102273.99151625807,0,206397.2409546829
11926.448482492968,0,116067.07359120388
-56570.84935803747,0,47569.977386197046
-32196.3717964934,0,71943.81058427418
-79517.82780013932,0,24622.95799242613
-79213.1443721602,0,24927.68237104951
-90655.37016390765,0,13485.456173184744
16313.120359932604,0,120453.93223817073
-36176.74770247619,0,67964.07813945625
-76338.5071716019,0,27802.319572802273
-78452.8573242586,0,25687.96926943859
-26684.21300197015,0,77456.61086960998
101296.00158766212,0,205435.11716854168
354114.3627066116,0,458255.15620067663
-83321.39823114831,0,20819.41421105052
-83317.52814843229,0,20823.29792459433
-72131.52262760662,0,32009.067296358222
113090.43498014435,0,217230.28794920663
-58857.66017151764,0,45283.16143530604
-45881.45204357272,0,58256.08783841964
-45565.80109341408,0,58575.025155234915
-23677.111177450275,0,80463.6923794652
-79408.00996373154,0,24732.806300423756
-71361.76184410718,0,32779.064024932864
-30193.110286520554,0,73947.71604110896
-74793.11978288039,0,29347.706964236582
-64137.852850354786,0,40002.951553208935
187726.88618200223,0,291867.6989889164
-49655.59602902897,0,54485.22971052426
-26485.139067394095,0,77654.90419425278
-47333.25373207639,0,56807.572289281765
-46592.596764484195,0,57548.22581622239
117522.6587204522,0,221657.4970762244
-23803.231034718425,0,80337.59569631847
24148.681569669665,0,128289.50647160056
-60905.01372765328,0,43235.79096424565
150502.3123232725,0,254643.13729618106
667624.203367717,0,771765.0298516211
-88341.31992120558,0,15798.571206496441
-9554.24128295303,0,94586.52305005267
31929.242729506186,0,136069.36793411124
-34430.02646336945,0,69710.79987597257
-85406.68587214986,0,18734.140874746507
-84215.03452658949,0,19925.746649296092
-77269.13449506208,0,26871.691933838843
3662173.8673569853,0,3127855.6726186555
169450.62969486305,0,273574.9907026152
-87238.37044358446,0,16899.735023821828
-91138.79376441732,0,12965.17288263639
69526.03971336834,0,173666.86131171114
-66602.02449634642,0,37538.790929830306
230492.38103572998,0,334493.81331461226
-63260.55056816344,0,40880.26342356411
-46255.97642691031,0,57884.797259196035
-58796.32107087647,0,45344.504883862355
-59917.059386071494,0,44223.16695326495
-54884.758770040964,0,49234.44649082995
33734.28453490273,0,137875.1112808186
-78479.58447512047,0,25661.24057115621
67289.63845614222,0,171430.2592648357
-26944.26875094348,0,77095.35201792454
-89884.48149073904,0,14256.138119957966
-53409.035525572595,0,50731.79108282486
110146.42920802959,0,214287.06017894106
-69873.40886595327,0,34267.38495818772
-92202.79779071618,0,11938.023142512018
-13521.438860569106,0,90619.38196706229
41871.360404354935,0,146012.1780159855
616.9743579541246,0,104757.76430686457
-46111.64478644254,0,58029.03300984513
-70954.91151564039,0,33185.914907868835
-63296.04541483603,0,40844.78114786746
-99407.49328945385,0,4733.333199948375
32075.309118083293,0,136216.135372724
-90676.32196882638,0,13464.20727887889
-1915.4891574881985,0,102225.16463808341
125602.56478168708,0,229742.74368268083
-28922.872758790014,0,75217.94686220564
129464.67671934734,0,233605.47557634852
-68804.3953829375,0,35336.34687692675
-53240.28140396179,0,50900.452498125705
