date,qty,usd_spent,Close,marker_size
2025-07-13,163123,455776464,2973.35888671875,13.224032662793817
2025-07-20,137545,486978072,3759.471435546875,12.143076110382333
2025-07-27,266112,967982400,3875.24658203125,16.890345865547705
2025-08-03,58203,203244876,3497.379150390625,7.899125219607736
2025-08-06,208150,757145625,3683.920654296875,14.9380710547352
2025-08-11,317121,1307331322,4226.966796875,18.4382124370072
2025-08-17,373119,1621595148,4473.271484375,20.0
2025-08-25,190526,910714280,4372.98779296875,14.291685088993216
2025-08-28,78791,357711140,4507.177734375,9.190615970743885
2025-09-02,74284,319421240,4325.36572265625,8.923884772639907
2025-09-08,202469,874666080,4308.072265625,14.732809801511909
2025-09-12,264929,1181053482,4715.24609375,16.85276106040236
2025-09-12,234846,976489668,4715.24609375,15.867112355959907
2025-09-15,81682,369154256,4526.8203125,9.357708118983352
